grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean,pair_class,phase,archetype,family
method+phase+pair_class,risky_ps_old,16,12.96875,4.9336340625,0.0649625,17.9673465625,0.0,0.0625,0.5375,2.25,0.0625,3.1875,1.0,44371.0,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_old,22,1.2045454545454546,5.0407375,0.07232727272727274,6.317610227272727,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,41939.5,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_old,3,2.5,5.093406666666667,0.06386666666666667,7.657273333333333,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,46499.666666666664,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_safe_conditional,38,11.776315789473685,4.976808684210527,0.07158157894736843,16.82470605263158,0.13157894736842105,0.3157894736842105,0.8421052631578947,0.631578947368421,0.15789473684210525,1.4736842105263157,1.0,51781.5,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_safe_conditional,37,10.945945945945946,5.217498918918919,0.0644891891891892,16.227934054054057,0.08108108108108109,0.21621621621621623,0.49189189189189186,2.5135135135135136,0.02702702702702703,3.4864864864864864,1.0,46311.97297297297,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_safe_conditional,22,1.25,5.167702727272727,0.07220454545454545,6.489907272727273,0.4090909090909091,0.9545454545454546,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,42912.77272727273,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_safe_conditional,3,2.5,5.291321666666667,0.06386666666666667,7.855188333333333,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,48110.666666666664,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_safe_conditional_ix,56,10.848214285714286,5.264137857142857,0.07115,16.183502142857144,0.23214285714285715,0.3392857142857143,0.7785714285714286,0.7321428571428571,0.375,1.3571428571428572,1.0,53791.19642857143,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_safe_conditional_ix,19,11.131578947368421,5.265581842105263,0.0639842105263158,16.461145,0.0,0.05263157894736842,0.39999999999999997,2.6842105263157894,0.3157894736842105,3.3684210526315788,1.0,44832.73684210526,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_safe_conditional_ix,22,1.2954545454545454,5.1138200000000005,0.07220454545454545,6.48147909090909,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,42485.545454545456,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_safe_conditional_ix,3,2.3333333333333335,5.281181666666667,0.06386666666666667,7.678381666666667,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,48032.666666666664,agent_fast__task_fast,trap_pre_switch,,
